,Título,Zona,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Link,Latitud,Longitud,idZona,TerrazaBin
6793,Alquiler apartamento piso en alquiler en sants en Barcelona,Les Corts,1024.0,80.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sants_les_corts-barcelona-i2385004080417.htm?pag=194&f=&geo=p&from=list&lo=55,41.3859623137,2.1339695051,19,0
6794,"Alquiler apartamento piso moderno de 45m², 2 habitaciones, 1 baño, amueblado y equipado y muy luminoso. en Barcelona",Gòtic,874.0,50.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_45m2_2_habitaciones_1_bano_amueblado_y_equipa_gotic-barcelona-i2385004079470.htm?pag=193&f=&geo=p&from=list&lo=55,41.377981159099996,2.1825897055000003,02,0
6795,"Alquiler apartamento piso moderno de 60m ² con 1 dormitorio doble, 1 baño, 1 aseo, totalmente amueblado y equipado en Barcelona",La Salut,800.0,60.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_60m_2_con_1_dormitorio_doble_1_bano_1_aseo_to_la_salut-barcelona-i2385004079378.htm?pag=193&f=&geo=p&from=list&lo=55,41.41236957,2.1575844213,30,0
6796,"Alquiler apartamento loft moderno, 1 hab doble, 1 baño, 1 balcón en Barcelona",Raval,850.0,40.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-loft_moderno_1_hab_doble_1_bano_1_balcon_raval-barcelona-i2385004079339.htm?pag=193&f=&geo=p&from=list&lo=55,41.3767865711,2.1644982451,01,0
6797,Alquiler piso en Vila de Gràcia Barcelona,Vila de Gràcia,800.0,50.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-vila_de_gracia-barcelona-i10419004084326.htm?pag=186&f=&geo=p&from=list&lo=55,41.4046196869,2.15302232,31,0
6798,Alquiler apartamento piso en alquiler en el Poblenou en Barcelona,Poblenou,1600.0,102.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_poblenou_poblenou-barcelona-i2385004080105.htm?pag=194&f=&geo=p&from=list&lo=55,41.4064707327,2.1921925871,68,0
6799,"Alquiler apartamento piso moderno de 55 m2, 1 hab. dob., 1 baño, balcón, amueblado, cocina equipada en Barcelona",St. Pere - Sta. Caterina - El Born,900.0,55.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_55_m2_1_hab_dob_1_bano_balcon_amueblado_c_st_pere_sta_caterina_el_born-barcelona-i2385004079974.htm?pag=194&f=&geo=p&from=list&lo=55,41.3887319833,2.1778655783,04,0
6800,Alquiler apartamento piso moderno y diseño 85m2 2habcon 1 suite) 2baños amueblado ascensor en Barcelona,Raval,950.0,87.0,2,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_y_diseno_85m2_2habcon_1_suite_2banos_amueblado_asc_raval-barcelona-i2385004079384.htm?pag=193&f=&geo=p&from=list&lo=55,41.384236155,2.1714972269999997,01,0
6802,"Alquiler apartamento moderno piso de 56 m2, 2 habitaciones 1 hab doble, 1 hab ind), 1 baño, amueblado, equipado,balcón, amplio y luminoso. en Barcelona",Putget - Farró,1100.0,56.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-moderno_piso_de_56_m2_2_habitaciones_1_hab_doble_1_hab_ind_1_putget_farro-barcelona-i2385004079380.htm?pag=193&f=&geo=p&from=list&lo=55,41.4029051392,2.1526451706,27,0
6803,"Alquiler apartamento piso 140m², 3 habitaciones, 2 baños, 2 plazas de parking, sin amueblar, balcon, cocina equipada, nuevo, excelentes vista en Barcelona",Sarrià,2850.0,140.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_140m2_3_habitaciones_2_banos_2_plazas_de_parking_sin_am_sarria-barcelona-i2385004079441.htm?pag=201&f=&geo=p&from=list&lo=55,41.4013390912,2.1177909468,23,0
6804,"Alquiler apartamento piso de 70m2, 1 habitación doble, 1 baño, cocina equipada, amueblado, ascensor y muy luminoso en Barcelona",Esquerra Alta de l´Eixample,2300.0,70.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_de_70m2_1_habitacion_doble_1_bano_cocina_equipada_amueb_esquerra_alta_de_l_eixample-barcelona-i2385004080025.htm?pag=201&f=&geo=p&from=list&lo=55,41.3846362923,2.1450529881000002,08,0
6805,"Alquiler apartamento piso de 330m², 4 habitaciones 2 en suite + 1 doble + 1 individual), 4 baños, 1 aseo, amueblado, equipado y con piscina en Barcelona",Pedralbes,4900.0,330.0,5,4,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_de_330m2_4_habitaciones_2_en_suite_1_doble_1_individua_pedralbes-barcelona-i2385004079657.htm?pag=194&f=&geo=p&from=list&lo=55,41.3835275217,2.1071434237999997,21,0
6806,Alquiler apartamento piso en alquiler en vilapicina-la torre llobeta en Barcelona,Vilapicina - Torre Llobeta,1300.0,90.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_vilapicina_la_torre_llobeta_vilapicina_torre_llobeta-barcelona-i2385004079487.htm?pag=193&f=&geo=p&from=list&lo=55,41.4301991561,2.1725046894,44,0
6807,"Alquiler apartamento piso moderno, 60m2, 1hab. doble, 1baño, amueblado, exterior, mucha luz en Barcelona",Sant Genís dels Agudells,800.0,60.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_60m2_1hab_doble_1bano_amueblado_exterior_muc_sant_genis_dels_agudells-barcelona-i2385004080066.htm?pag=201&f=&geo=p&from=list&lo=55,41.4306987381,2.1356102686000002,39,0
6808,Alquiler apartamento piso en alquiler en el Carmel en Barcelona,Carmel,1100.0,69.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_carmel_carmel-barcelona-i2385004079933.htm?pag=194&f=&geo=p&from=list&lo=55,41.421670006999996,2.1526758828,37,0
6809,"Alquiler apartamento piso tranquilo de 67 m2, 3 hab , 1 baño, exterior, balcón, jardín, luminoso, amueblado, cocina equipada en Barcelona",Montbau,874.0,67.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_tranquilo_de_67_m2_3_hab_1_bano_exterior_balcon_jardi_montbau-barcelona-i2385004079986.htm?pag=201&f=&geo=p&from=list&lo=55,41.4299842923,2.1391532013,40,0
6810,Alquiler apartamento piso en alquiler en sant pere-santa caterina-la ribera en Barcelona,Sants,850.0,56.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sant_pere_santa_caterina_la_ribera_sants-barcelona-i2385004080001.htm?pag=201&f=&geo=p&from=list&lo=55,41.3720256059,2.1369118683000004,18,0
6811,Alquiler apartamento piso en alquiler en sant pere-santa caterina-la ribera en Barcelona,Sants,850.0,56.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sant_pere_santa_caterina_la_ribera_sants-barcelona-i2385004083877.htm?pag=196&f=&geo=p&from=list&lo=55,41.3721962858,2.1411734798,18,0
6812,Alquiler apartamento piso en alquiler en el congrés-els indians en Barcelona,Congrés - Indians,1000.0,100.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_congres_els_indians_congres_indians-barcelona-i2385004080054.htm?pag=201&f=&geo=p&from=list&lo=55,41.429317399,2.1766833078,62,0
6813,"Alquiler apartamento piso moderno de 60 m², 1 habitación 1 doble), 1 baño, asc., parking opcional), terraza, balcón, luminoso y exterior. en Barcelona",Sarrià,1810.0,60.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_60_m2_1_habitacion_1_doble_1_bano_asc_park_sarria-barcelona-i2385004079610.htm?pag=194&f=&geo=p&from=list&lo=55,41.3979584936,2.1193590952,23,0
6814,Alquiler apartamento piso en alquiler en Sants en Barcelona,Sants,1690.0,140.0,4,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sants_sants-barcelona-i2385004083780.htm?pag=196&f=&geo=p&from=list&lo=55,41.3810732048,2.1359870177,18,0
6815,Alquiler apartamento piso en Vila de Gràcia en Vila de Gràcia Barcelona,Vila de Gràcia,1010.0,70.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_vila_de_gracia_vila_de_gracia-barcelona-i2385004083661.htm?pag=196&f=&geo=p&from=list&lo=55,41.4027444675,2.1573380632,31,0
6816,Alquiler apartamento estudio en alquiler en el barri Gòtic en Barcelona,Gòtic,900.0,30.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-estudio_en_en_el_barri_gotic_gotic-barcelona-i2385004084277.htm?pag=196&f=&geo=p&from=list&lo=55,41.3816610539,2.1788853896,02,0
6817,Alquiler apartamento piso en alquiler en El Clot en Barcelona,El Clot,850.0,60.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_clot_el_clot-barcelona-i2385004083632.htm?pag=196&f=&geo=p&from=list&lo=55,41.4087581554,2.1907342438,65,0
6818,"Alquiler apartamento piso alto standing de 165m² con 3 habitaciones dobles, 2 baños, amueblado, exterior y muy luminoso. en Barcelona",Dreta de l´Eixample,2500.0,165.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_alto_standing_de_165m2_con_3_habitaciones_dobles_2_banos_dreta_de_l_eixample-barcelona-i2385004083290.htm?pag=196&f=&geo=p&from=list&lo=55,41.392461558,2.1663951468000002,07,0
6819,"Alquiler apartamento tríplex de 170m² más terraza de 20m², 3 hab. dobles suite, amueblado diseño con posibilidad parking en Barcelona",Vila Olímpica,2750.0,190.0,3,3,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-triplex_de_170m2_mas_terraza_de_20m2_3_hab_dobles_suite_amueb_vila_olimpica-barcelona-i2385004083239.htm?pag=196&f=&geo=p&from=list&lo=55,41.3928996686,2.2018638151,67,0
6820,Alquiler apartamento piso en alquiler en el Fort Pienc en Barcelona,Fort Pienc,1050.0,66.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_fort_pienc_fort_pienc-barcelona-i2385004083635.htm?pag=196&f=&geo=p&from=list&lo=55,41.4017200034,2.1811904741,05,0
6821,"Alquiler apartamento piso moderno de 130m2, 3 habitaciones dobles, vestidor, balcon, 2 baños, 1 aseo, cocina equipada, comedor en Barcelona",Putget - Farró,1550.0,130.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_130m2_3_habitaciones_dobles_vestidor_balcon_putget_farro-barcelona-i2385004079978.htm?pag=201&f=&geo=p&from=list&lo=55,41.4038065906,2.1419241896,27,0
6822,"Alquiler apartamento loft seminuevo de diseño piso cerca de las ramblas de 55m², 1 dorm.doble, 1 baño, amueblado, mucha luz en Barcelona",Gòtic,1450.0,55.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-loft_seminuevo_de_diseno_piso_cerca_de_las_ramblas_de_55m2_1_d_gotic-barcelona-i2385004083662.htm?pag=196&f=&geo=p&from=list&lo=55,41.3849185898,2.1750453653,02,0
6823,"Alquiler apartamento piso 68 m², 3 habitaciones, 1 baño, totalmente amueblado y equipado, terraza, aire acondicionado. en Barcelona",Camp d´en Grassot - Gràcia N.,874.0,70.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_68_m2_3_habitaciones_1_bano_totalmente_amueblado_y_equip_camp_d_en_grassot_gracia_n-barcelona-i2385004082967.htm?pag=196&f=&geo=p&from=list&lo=55,41.4082024869,2.1599226348,32,0
6824,"Alquiler apartamento piso moderno de 95 m2, 2 hab., 1 baños, 1 aseo, terraza, jardín, luminoso, exterior en Barcelona",Vallvidrera - Tibidabo - Les Planes,1950.0,95.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_95_m2_2_hab_1_banos_1_aseo_terraza_jardin_vallvidrera_tibidabo_les_planes-barcelona-i2385004079381.htm?pag=193&f=&geo=p&from=list&lo=55,41.4145775844,2.1119036736,22,0
6825,Alquiler apartamento piso en alquiler en la nova esquerra de l´eixample en Barcelona,Esquerra Alta de l´Eixample,950.0,80.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_la_nova_esquerra_de_leixample_esquerra_alta_de_l_eixample-barcelona-i2385004083015.htm?pag=196&f=&geo=p&from=list&lo=55,41.3859446452,2.1428580077,08,0
6826,Alquiler apartamento piso alto standing de diseño. 80 m2 1 hab 1 dbl 2 ind) soleado calef central en Barcelona,Putget - Farró,1800.0,80.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_alto_standing_de_diseno_80_m2_1_hab_1_dbl_2_ind_soleado_putget_farro-barcelona-i2385004083727.htm?pag=196&f=&geo=p&from=list&lo=55,41.4077673317,2.1445256858,27,0
6827,"Alquiler apartamento moderno piso de 86m2, 3 habitaciones, 1 baño, amueblado, balcón, muy luminoso, plaza de garage. en Barcelona",Sant Gervasi - Galvany,2100.0,86.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-moderno_piso_de_86m2_3_habitaciones_1_bano_amueblado_balcon_sant_gervasi_galvany-barcelona-i2385004082945.htm?pag=199&f=&geo=p&from=list&lo=55,41.3991425844,2.1516533013,26,0
6828,Alquiler apartamento piso en alquiler en l´antiga esquerra de l´eixample en Barcelona,Esquerra Baixa de l´Eixample,950.0,80.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_lantiga_esquerra_de_leixample_esquerra_baixa_de_l_eixample-barcelona-i2385004082613.htm?pag=195&f=&geo=p&from=list&lo=55,41.3875846718,2.1637825702,09,0
6829,"Alquiler apartamento piso moderno de 70m², 3 dorm. 1 dob. + 2 ind.), 1 baño, ascensor, exterior, amueblado, mucha luz en Barcelona",Badal,800.0,70.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_70m2_3_dorm_1_dob_2_ind_1_bano_ascensor_badal-barcelona-i2385004082936.htm?pag=199&f=&geo=p&from=list&lo=55,41.3759419697,2.1267194846,17,0
6830,"Alquiler apartamento piso de 68m², 3 habitaciones 2 dobles + 1 individual), 1 baño, amueblado, equipado y con balcones en Barcelona",Poble Sec,880.0,68.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_de_68m2_3_habitaciones_2_dobles_1_individual_1_bano_a_poble_sec-barcelona-i2385004083001.htm?pag=196&f=&geo=p&from=list&lo=55,41.3715316407,2.1575602403,11,0
6831,Alquiler apartamento piso en alquiler en el poble-sec en Barcelona,Poble Sec,1300.0,140.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_poble_sec_poble_sec-barcelona-i2385004082935.htm?pag=198&f=&geo=p&from=list&lo=55,41.3702925444,2.1722912731,11,0
6832,"Alquiler apartamento loft moderno de 75 m2, 1 hab doble, 1 baño en Barcelona",Gòtic,1550.0,75.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-loft_moderno_de_75_m2_1_hab_doble_1_bano_gotic-barcelona-i2385004082940.htm?pag=199&f=&geo=p&from=list&lo=55,41.3824546091,2.1717997401,02,0
6833,Alquiler apartamento piso en alquiler en sant pere-santa caterina-la ribera en Barcelona,St. Pere - Sta. Caterina - El Born,1100.0,58.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sant_pere_santa_caterina_la_ribera_st_pere_sta_caterina_el_born-barcelona-i2385004082961.htm?pag=198&f=&geo=p&from=list&lo=55,41.391042112600005,2.1775922147,04,0
6834,Alquiler apartamento piso en alquiler en la Dreta de l´Eixample en Barcelona,Dreta de l´Eixample,950.0,50.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_la_dreta_de_leixample_dreta_de_l_eixample-barcelona-i2385004082926.htm?pag=199&f=&geo=p&from=list&lo=55,41.3919980876,2.1759706294,07,0
6835,Alquiler apartamento piso en alquiler en el Fort Pienc en Barcelona,Fort Pienc,1450.0,50.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_fort_pienc_fort_pienc-barcelona-i2385004082987.htm?pag=198&f=&geo=p&from=list&lo=55,41.398117759099996,2.1820168047,05,0
6836,Alquiler apartamento piso en alquiler en sant gervasi-galvany en Barcelona,Sant Gervasi - Galvany,2100.0,162.0,4,3,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sant_gervasi_galvany_sant_gervasi_galvany-barcelona-i2385004080183.htm?pag=198&f=&geo=p&from=list&lo=55,41.3921089206,2.1411153757,26,0
6837,"Alquiler apartamento piso moderno en Pedralbes, 190m2, 4 hab, 3 baños, cocina equipada, comedor amplio y luminoso, terraza en Barcelona",Pedralbes,2100.0,190.0,4,3,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_en_pedralbes_190m2_4_hab_3_banos_cocina_equipad_pedralbes-barcelona-i2385004082997.htm?pag=198&f=&geo=p&from=list&lo=55,41.3891326081,2.1244305515,21,0
6838,Alquiler apartamento piso en alquiler en el Raval en Barcelona,Raval,690.0,60.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_raval_raval-barcelona-i2385004083012.htm?pag=198&f=&geo=p&from=list&lo=55,41.3780396016,2.1690505527,01,0
6839,Alquiler apartamento piso en alquiler en la dreta de l´eixample en Barcelona,Les Corts,950.0,80.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_la_dreta_de_leixample_les_corts-barcelona-i2385004083048.htm?pag=198&f=&geo=p&from=list&lo=55,41.3903702016,2.1370281976,19,0
6840,"Alquiler apartamento piso de 95m², 3 habitaciones 1 en suite+ 2 individuales), 2 baños, amueblado y balcón en Barcelona",Putget - Farró,1150.0,95.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_de_95m2_3_habitaciones_1_en_suite_2_individuales_2_bano_putget_farro-barcelona-i2385004082985.htm?pag=198&f=&geo=p&from=list&lo=55,41.4049266385,2.145228321,27,0
6841,Alquiler apartamento buen estilo 50 m² 2hab 1baño amobl en Barcelona,Raval,950.0,50.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-buen_estilo_50_m2_2hab_1bano_amobl_raval-barcelona-i2385004083609.htm?pag=198&f=&geo=p&from=list&lo=55,41.383734161,2.1630893007,01,0
6844,"Alquiler apartamento piso reformado de 40m², 1 habitación tipo loft, 1 baño, amueblado, calefacción y aire acondicionado en Barcelona",Sant Ramon - Maternitat,688.0,40.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_reformado_de_40m2_1_habitacion_tipo_loft_1_bano_amueblad_sant_ramon_maternitat-barcelona-i2385004082914.htm?pag=199&f=&geo=p&from=list&lo=55,41.3835877254,2.1259198608000003,20,0
6845,Alquiler apartamento piso en alquiler en la nova esquerra de l´eixample en Barcelona,Esquerra Alta de l´Eixample,950.0,80.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_la_nova_esquerra_de_leixample_esquerra_alta_de_l_eixample-barcelona-i2385004083034.htm?pag=198&f=&geo=p&from=list&lo=55,41.3810246401,2.1464286535,08,0
6846,"Alquiler apartamento piso moderno de 55m2, 2 habitaciones dobles, 1 baño, cocina equipada, amueblado, aire acondicionado en Barcelona",Torre Baró,1674.0,55.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_55m2_2_habitaciones_dobles_1_bano_cocina_equi_torre_baro-barcelona-i2385004083644.htm?pag=197&f=&geo=p&from=list&lo=55,41.461318616999996,2.1830240387999997,54,0
6847,Alquiler apartamento piso en alquiler en el Fort Pienc en Barcelona,Fort Pienc,1150.0,66.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_fort_pienc_fort_pienc-barcelona-i2385004083656.htm?pag=197&f=&geo=p&from=list&lo=55,41.398756296900004,2.1822593872,05,0
6848,"Alquiler apartamento piso moderno de 110m2, 2 hab indiv., 2 hab dobles, 1 baño, 1 aseo, cocina, comedor en Barcelona",La Salut,1200.0,110.0,4,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_110m2_2_hab_indiv_2_hab_dobles_1_bano_1_ase_la_salut-barcelona-i2385004082959.htm?pag=198&f=&geo=p&from=list&lo=55,41.4138776284,2.1581998059,30,0
6851,Alquiler apartamento atico en alquiler en sant gervasi-galvany en Barcelona,Sant Gervasi - Galvany,3950.0,180.0,3,3,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-atico_en_en_sant_gervasi_galvany_sant_gervasi_galvany-barcelona-i2385004083719.htm?pag=197&f=&geo=p&from=list&lo=55,41.4021855137,2.1435951674,26,0
6852,"Alquiler apartamento piso moderno de 80m2, 2 hab 1 doble), 2 baños, cocina equipada, comedor en Barcelona",Esquerra Alta de l´Eixample,1200.0,80.0,2,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_80m2_2_hab_1_doble_2_banos_cocina_equipada_esquerra_alta_de_l_eixample-barcelona-i2385004083701.htm?pag=197&f=&geo=p&from=list&lo=55,41.3941924202,2.1597857863,08,0
6853,Alquiler loft en Poble Sec Barcelona,Poble Sec,750.0,70.0,1,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-loft-poble_sec-barcelona-i16956004059933.htm?pag=197&f=&geo=p&from=list&lo=55,41.3743341202,2.1672809562,11,0
6854,Alquiler loft en Poblenou Barcelona,Poblenou,1600.0,125.0,2,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-loft-poblenou-barcelona-i11804004074783.htm?pag=197&f=&geo=p&from=list&lo=55,41.3949309091,2.1972047663,68,0
6855,"Alquiler apartamento duplex moderno de 55m2, 1 hab dob, 2 baños, equipado, amplio y luminoso en Barcelona",St. Pere - Sta. Caterina - El Born,750.0,55.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-duplex_moderno_de_55m2_1_hab_dob_2_banos_equipado_amplio_y_l_st_pere_sta_caterina_el_born-barcelona-i2385004084142.htm?pag=197&f=&geo=p&from=list&lo=55,41.3884445224,2.1816132468,04,0
6856,"Alquiler apartamento piso elegante 110m² , 4hab , 2 baños, asc, ext, amueblado, mucha luz en Barcelona",Esquerra Alta de l´Eixample,1220.0,105.0,4,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_elegante_110m2_4hab_2_banos_asc_ext_amueblado_mucha_esquerra_alta_de_l_eixample-barcelona-i2385004084042.htm?pag=197&f=&geo=p&from=list&lo=55,41.3891425265,2.1557710599,08,0
6858,Alquiler apartamento piso en alquiler en el poble-sec en Barcelona,Poble Sec,1200.0,75.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_poble_sec_poble_sec-barcelona-i2385004083982.htm?pag=197&f=&geo=p&from=list&lo=55,41.3714688602,2.162914938,11,0
6859,"Alquiler apartamento piso moderno de 110m², 3 habitaciones amplias, 2 baños, amueblado, cocina equipada, 2 balcones en Barcelona",Esquerra Alta de l´Eixample,1900.0,110.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_110m2_3_habitaciones_amplias_2_banos_amueblad_esquerra_alta_de_l_eixample-barcelona-i2385004083746.htm?pag=197&f=&geo=p&from=list&lo=55,41.3900859833,2.1546767618000002,08,0
6860,"Alquiler apartamento piso moderno de 132m², 3 habitaciones dobles, 2 baños, amueblado, equipado, terraza y luminoso. en Barcelona",Esquerra Alta de l´Eixample,2900.0,150.0,3,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_moderno_de_132m2_3_habitaciones_dobles_2_banos_amueblado_esquerra_alta_de_l_eixample-barcelona-i2385004080461.htm?pag=200&f=&geo=p&from=list&lo=55,41.3894927306,2.1533603826,08,0
6861,Alquiler apartamento piso en alquiler en el Raval en Barcelona,Raval,990.0,65.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_el_raval_raval-barcelona-i2385004084023.htm?pag=197&f=&geo=p&from=list&lo=55,41.3750772923,2.1679146883000002,01,0
6862,"Alquiler apartamento piso de 73m², 2 habitaciones dobles, 1 baño, amueblado, equipado y con balcón en Barcelona",Sant Gervasi - Galvany,1050.0,73.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_de_73m2_2_habitaciones_dobles_1_bano_amueblado_equipado_sant_gervasi_galvany-barcelona-i2385004080452.htm?pag=200&f=&geo=p&from=list&lo=55,41.3997865227,2.1468122437,26,0
6863,Alquiler apartamento duplex en alquiler en la maternitat-sant ramon en Barcelona,Sarrià,990.0,70.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-duplex_en_en_la_maternitat_sant_ramon_sarria-barcelona-i2385004080434.htm?pag=200&f=&geo=p&from=list&lo=55,41.398180447399994,2.1190836316,23,0
6864,Alquiler apartamento piso en alquiler en santa caterina i la ribera en Barcelona,St. Pere - Sta. Caterina - El Born,990.0,90.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_santa_caterina_i_la_ribera_st_pere_sta_caterina_el_born-barcelona-i2385004080486.htm?pag=200&f=&geo=p&from=list&lo=55,41.3888838729,2.1792152385,04,0
6865,Alquiler apartamento piso en alquiler en sant pere-santa caterina-la ribera en Barcelona,St. Pere - Sta. Caterina - El Born,950.0,62.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-piso_en_en_sant_pere_santa_caterina_la_ribera_st_pere_sta_caterina_el_born-barcelona-i2385004083759.htm?pag=197&f=&geo=p&from=list&lo=55,41.3871143055,2.1812884852,04,0
6866,Alquiler piso en Sant Gervasi - Galvany Barcelona,Sant Gervasi - Galvany,1650.0,100.0,3,2,Terraza 9 m,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-sant_gervasi_galvany-barcelona-i2435004083997.htm?pag=211&f=&geo=p&from=list&lo=55,41.3987535844,2.1539691647,26,1
6867,Alquiler apartamento buen estilo 2hab 1baño amobl en Barcelona,Camp d´en Grassot - Gràcia N.,1250.0,65.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-buen_estilo_2hab_1bano_amobl_camp_d_en_grassot_gracia_n-barcelona-i2385004083641.htm?pag=198&f=&geo=p&from=list&lo=55,41.4023835928,2.1696003573,32,0
6868,Alquiler piso pieza única. en Gòtic Barcelona,Gòtic,1100.0,90.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-pieza_unica_gotic-barcelona-i4642003954007.htm?pag=211&f=&geo=p&from=list&lo=55,41.383256233400004,2.1725337903999997,02,0
